sample_id,label,group_id,image_path,wnid
0,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_5810.JPEG,n03445777
1,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_15592.JPEG,n03417042
2,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_9241.JPEG,n03425413
3,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_25150.JPEG,n03888257
4,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_902.JPEG,n02102040
5,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_7001.JPEG,n03445777
6,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_72470.JPEG,n03028079
7,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_29062.JPEG,n03028079
8,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_71.JPEG,n03445777
9,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_29580.JPEG,n03394916
10,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_600.JPEG,n02979186
11,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_4131.JPEG,n03445777
12,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_1300.JPEG,n02979186
13,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_8380.JPEG,n03445777
14,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_7092.JPEG,n02102040
15,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_36752.JPEG,n03394916
16,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_20220.JPEG,n02979186
17,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_42680.JPEG,n03888257
18,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_4401.JPEG,n03000684
19,571,0,E:\CO\data\tasks\imagenette\val\n03425413\ILSVRC2012_val_00017350.JPEG,n03425413
20,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_36380.JPEG,n03394916
21,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_5261.JPEG,n03028079
22,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_23440.JPEG,n02979186
23,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_48910.JPEG,n03888257
24,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_15692.JPEG,n03445777
25,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_8840.JPEG,n03445777
26,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_15772.JPEG,n03425413
27,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_15701.JPEG,n03425413
28,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_116072.JPEG,n03028079
29,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_7792.JPEG,n02102040
30,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_9752.JPEG,n03000684
31,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_2671.JPEG,n03417042
32,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_16242.JPEG,n03000684
33,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_6981.JPEG,n03417042
34,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_27151.JPEG,n03417042
35,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_4980.JPEG,n03417042
36,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_5682.JPEG,n03417042
37,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_29062.JPEG,n03000684
38,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_12401.JPEG,n03888257
39,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_23521.JPEG,n03028079
40,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_6021.JPEG,n01440764
41,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_27630.JPEG,n03417042
42,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_38501.JPEG,n03888257
43,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_19650.JPEG,n03417042
44,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_20650.JPEG,n03000684
45,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_18691.JPEG,n03394916
46,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_6131.JPEG,n03000684
47,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_17782.JPEG,n01440764
48,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_2031.JPEG,n03445777
49,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_31961.JPEG,n03425413
50,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_7620.JPEG,n03394916
51,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_28581.JPEG,n03888257
52,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_8861.JPEG,n02979186
53,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_1130.JPEG,n03394916
54,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_9232.JPEG,n02979186
55,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_4732.JPEG,n03888257
56,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_10721.JPEG,n03888257
57,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_400.JPEG,n03000684
58,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_1310.JPEG,n03000684
59,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_931.JPEG,n02979186
60,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_10200.JPEG,n03000684
61,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_10721.JPEG,n03445777
62,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_17551.JPEG,n03028079
63,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_4731.JPEG,n03028079
64,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_6251.JPEG,n03028079
65,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_7951.JPEG,n03394916
66,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_6291.JPEG,n02102040
67,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_29762.JPEG,n03394916
68,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_12811.JPEG,n03888257
69,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_15000.JPEG,n03425413
70,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_8790.JPEG,n03445777
71,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_1181.JPEG,n02102040
72,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_44112.JPEG,n03888257
73,569,0,E:\CO\data\tasks\imagenette\val\n03417042\ILSVRC2012_val_00033842.JPEG,n03417042
74,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_33490.JPEG,n03394916
75,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_1770.JPEG,n02102040
76,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_22111.JPEG,n02979186
77,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_6851.JPEG,n03425413
78,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_19451.JPEG,n03888257
79,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_6292.JPEG,n03000684
80,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_2332.JPEG,n03445777
81,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_11931.JPEG,n03888257
82,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_24542.JPEG,n03000684
83,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_14051.JPEG,n03445777
84,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_16790.JPEG,n03000684
85,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_4042.JPEG,n03888257
86,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_14712.JPEG,n03425413
87,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_33352.JPEG,n03394916
88,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_11441.JPEG,n03000684
89,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_3450.JPEG,n02102040
90,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_15181.JPEG,n03000684
91,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_1222.JPEG,n02102040
92,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_7670.JPEG,n03417042
93,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_24552.JPEG,n03425413
94,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_37510.JPEG,n03394916
95,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_1720.JPEG,n02102040
96,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_3670.JPEG,n03028079
97,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_1121.JPEG,n02102040
98,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_1502.JPEG,n03028079
99,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_7792.JPEG,n02102040
100,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_1692.JPEG,n03000684
101,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_9580.JPEG,n03028079
102,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_8971.JPEG,n03028079
103,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_28461.JPEG,n03394916
104,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_4260.JPEG,n01440764
105,701,0,E:\CO\data\tasks\imagenette\val\n03888257\ILSVRC2012_val_00024340.JPEG,n03888257
106,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_28561.JPEG,n03394916
107,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_18450.JPEG,n03417042
108,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_90.JPEG,n03417042
109,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_7160.JPEG,n01440764
110,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_16392.JPEG,n03445777
111,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_4350.JPEG,n02102040
112,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_11052.JPEG,n02979186
113,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_35740.JPEG,n03394916
114,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_7251.JPEG,n03028079
115,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_13831.JPEG,n03425413
116,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_7000.JPEG,n03394916
117,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_12092.JPEG,n02979186
118,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_520.JPEG,n03445777
119,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_3441.JPEG,n03028079
120,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_18132.JPEG,n03425413
121,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_7302.JPEG,n01440764
122,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_491.JPEG,n02102040
