sample_id,label,group_id,image_path,wnid
0,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_21730.JPEG,n03425413
1,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_15382.JPEG,n02979186
2,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_6421.JPEG,n03445777
3,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_16241.JPEG,n02979186
4,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_40.JPEG,n02979186
5,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_7310.JPEG,n03445777
6,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_36371.JPEG,n03888257
7,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_6392.JPEG,n02102040
8,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_10902.JPEG,n03000684
9,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_25411.JPEG,n03417042
10,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_10442.JPEG,n03445777
11,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_8122.JPEG,n02979186
12,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_33222.JPEG,n03394916
13,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_1512.JPEG,n02102040
14,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_7820.JPEG,n02979186
15,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_5432.JPEG,n03028079
16,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_11081.JPEG,n03888257
17,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_18232.JPEG,n03417042
18,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_11650.JPEG,n03425413
19,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_8192.JPEG,n03445777
20,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_72470.JPEG,n03028079
21,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_22540.JPEG,n03888257
22,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_3560.JPEG,n01440764
23,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_762.JPEG,n01440764
24,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_7730.JPEG,n03425413
25,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_9411.JPEG,n02979186
26,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_42690.JPEG,n03394916
27,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_3681.JPEG,n02102040
28,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_17470.JPEG,n02979186
29,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_6012.JPEG,n02979186
30,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_33241.JPEG,n03028079
31,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_15350.JPEG,n02979186
32,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_9292.JPEG,n03445777
33,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_5460.JPEG,n02979186
34,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_9811.JPEG,n01440764
35,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_880.JPEG,n03888257
36,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_8240.JPEG,n01440764
37,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_21282.JPEG,n03425413
38,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_6291.JPEG,n02102040
39,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_2032.JPEG,n02102040
40,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_4042.JPEG,n03445777
41,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_21332.JPEG,n03425413
42,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_3792.JPEG,n03417042
43,574,0,E:\CO\data\tasks\imagenette\val\n03445777\ILSVRC2012_val_00008161.JPEG,n03445777
44,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_2980.JPEG,n03000684
45,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_2950.JPEG,n02102040
46,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_10210.JPEG,n03888257
47,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_6541.JPEG,n03888257
48,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_212.JPEG,n03417042
49,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_10451.JPEG,n03028079
50,566,0,E:\CO\data\tasks\imagenette\val\n03394916\ILSVRC2012_val_00041242.JPEG,n03394916
51,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_5590.JPEG,n03445777
52,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_36911.JPEG,n03394916
53,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_3192.JPEG,n03028079
54,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_23510.JPEG,n03028079
55,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_13390.JPEG,n03425413
56,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_12802.JPEG,n03028079
57,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_5281.JPEG,n03888257
58,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_6052.JPEG,n03445777
59,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_13952.JPEG,n03028079
60,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_20992.JPEG,n03425413
61,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_5881.JPEG,n02102040
62,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_28381.JPEG,n03394916
63,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_17250.JPEG,n03000684
64,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_19580.JPEG,n03888257
65,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_2830.JPEG,n02102040
66,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_13871.JPEG,n03417042
67,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_33711.JPEG,n03394916
68,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_16660.JPEG,n03028079
69,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_7152.JPEG,n03000684
70,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_36772.JPEG,n03394916
71,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_35801.JPEG,n03394916
72,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_11612.JPEG,n01440764
73,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_32730.JPEG,n03394916
74,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_1961.JPEG,n02979186
75,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_8421.JPEG,n01440764
76,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_12050.JPEG,n03417042
77,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_79790.JPEG,n03028079
78,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_9940.JPEG,n03425413
79,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_7270.JPEG,n02102040
80,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_9000.JPEG,n03445777
81,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_46941.JPEG,n03394916
82,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_17980.JPEG,n03425413
83,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_5502.JPEG,n02102040
84,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_7372.JPEG,n03425413
85,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_7991.JPEG,n03445777
86,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_8300.JPEG,n02102040
87,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_18592.JPEG,n01440764
88,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_31010.JPEG,n03888257
89,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_10410.JPEG,n01440764
90,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_63390.JPEG,n03394916
91,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_19401.JPEG,n03425413
92,482,0,E:\CO\data\tasks\imagenette\val\n02979186\ILSVRC2012_val_00045110.JPEG,n02979186
93,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_14490.JPEG,n01440764
94,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_1381.JPEG,n02979186
95,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_14381.JPEG,n03445777
96,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_3180.JPEG,n02102040
97,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_510.JPEG,n02979186
98,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_15950.JPEG,n03000684
99,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_99351.JPEG,n03028079
100,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_51112.JPEG,n03394916
101,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_2321.JPEG,n02102040
102,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_2511.JPEG,n03445777
103,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_6662.JPEG,n03417042
