sample_id,label,group_id,wnid,class_name,image_path,split,paper_use,dataset_variant
imagenette160_train_008637,574,8,n03445777,golf ball,imagenette2-160/train/n03445777/n03445777_9947.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_005992,566,5,n03394916,French horn,imagenette2-160/train/n03394916/n03394916_37694.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_001865,701,9,n03888257,parachute,imagenette2-160/train/n03888257/n03888257_13078.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_009353,574,8,n03445777,golf ball,imagenette2-160/train/n03445777/n03445777_8026.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_005654,566,5,n03394916,French horn,imagenette2-160/train/n03394916/n03394916_38833.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_004070,0,0,n01440764,tench,imagenette2-160/train/n01440764/n01440764_10095.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_003791,0,0,n01440764,tench,imagenette2-160/train/n01440764/n01440764_2708.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_000999,701,9,n03888257,parachute,imagenette2-160/train/n03888257/n03888257_11098.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_003447,571,7,n03425413,gas pump,imagenette2-160/train/n03425413/n03425413_31464.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_009059,574,8,n03445777,golf ball,imagenette2-160/train/n03445777/n03445777_3536.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_001896,701,9,n03888257,parachute,imagenette2-160/train/n03888257/n03888257_33265.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_007864,482,2,n02979186,cassette player,imagenette2-160/train/n02979186/ILSVRC2012_val_00024874.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_000920,569,6,n03417042,garbage truck,imagenette2-160/train/n03417042/n03417042_28078.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_007726,482,2,n02979186,cassette player,imagenette2-160/train/n02979186/n02979186_15467.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_001431,701,9,n03888257,parachute,imagenette2-160/train/n03888257/n03888257_51808.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_000916,569,6,n03417042,garbage truck,imagenette2-160/train/n03417042/n03417042_10754.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_008985,574,8,n03445777,golf ball,imagenette2-160/train/n03445777/n03445777_1804.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_000546,569,6,n03417042,garbage truck,imagenette2-160/train/n03417042/n03417042_8654.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_003568,571,7,n03425413,gas pump,imagenette2-160/train/n03425413/n03425413_11944.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_002022,491,3,n03000684,chain saw,imagenette2-160/train/n03000684/n03000684_1108.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_008652,574,8,n03445777,golf ball,imagenette2-160/train/n03445777/n03445777_6399.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_003939,0,0,n01440764,tench,imagenette2-160/train/n01440764/n01440764_1009.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_001277,701,9,n03888257,parachute,imagenette2-160/train/n03888257/n03888257_383.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_006371,566,5,n03394916,French horn,imagenette2-160/train/n03394916/n03394916_29159.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_004629,0,0,n01440764,tench,imagenette2-160/train/n01440764/n01440764_1024.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_002197,491,3,n03000684,chain saw,imagenette2-160/train/n03000684/n03000684_36109.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_003813,0,0,n01440764,tench,imagenette2-160/train/n01440764/n01440764_17896.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_003094,571,7,n03425413,gas pump,imagenette2-160/train/n03425413/n03425413_2678.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_004977,497,4,n03028079,church,imagenette2-160/train/n03028079/n03028079_27079.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_000826,569,6,n03417042,garbage truck,imagenette2-160/train/n03417042/n03417042_7653.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_007488,217,1,n02102040,English springer,imagenette2-160/train/n02102040/n02102040_187.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_008621,574,8,n03445777,golf ball,imagenette2-160/train/n03445777/n03445777_10129.JPEG,train,False,imagenette2-160_proxy
imagenette160_train_002966,571,7,n03425413,gas pump,imagenette2-160/train/n03425413/n03425413_8564.JPEG,train,False,imagenette2-160_proxy
