sample_id,label,group_id,wnid,class_name,image_path,split,paper_use,dataset_variant
imagenette160_val_000000,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_6050.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000001,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_28261.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000002,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_3861.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000003,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_1280.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000004,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_21862.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000005,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_18622.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000006,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_13871.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000007,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_620.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000008,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_12291.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000009,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_10331.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000010,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_29722.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000011,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_27862.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000012,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_9152.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000013,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_820.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000014,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_3272.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000015,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_5180.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000016,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_5920.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000017,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_3351.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000018,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_3952.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000019,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_1601.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000020,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_10802.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000021,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_992.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000022,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_21270.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000023,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_652.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000024,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_5682.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000025,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_5750.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000026,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_23541.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000027,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_23272.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000028,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_6130.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000029,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_12190.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000030,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_18450.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000031,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_4980.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000032,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_17142.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000033,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_23771.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000034,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_8872.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000035,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_1651.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000036,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_2211.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000037,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_7191.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000038,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_27022.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000039,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_1790.JPEG,val,False,imagenette2-160_proxy
imagenette160_val_000040,569,6,n03417042,garbage truck,imagenette2-160/val/n03417042/n03417042_25411.JPEG,val,False,imagenette2-160_proxy
